Temperature (°C),Category
36.49742466554523,1
39.72400011589553,2
38.499166074143865,2
37.7524875115034,2
35.27370438647765,1
35.27356931388273,1
34.725268228141914,1
39.25058641633964,2
37.76624406576197,2
38.36520643565785,2
34.515273168056495,1
39.83149517210717,2
39.06167878848236,2
35.58909901979835,1
35.41821981635976,1
35.42706525517923,1
36.10375656057341,1
37.33863601714053,0
36.81889210439585,0
36.03088318510903,1
37.826376210445325,2
35.18116561965143,1
36.03601003179722,1
36.451626322444675,1
36.953991911615404,0
38.79698538380087,2
35.51817318008681,1
37.27971285511622,0
37.71752158562744,2
34.66012231123199,1
37.802251170648056,2
35.35493509264883,1
34.76428892071756,1
39.713759008618666,2
39.80753938521753,2
38.927025149452184,2
36.105837107370874,1
34.94696383843575,1
38.23170494846808,2
36.864853964941766,0
35.08341411513076,1
37.17299069662311,0
34.59257571824522,1
39.49219425164118,2
35.8491678969601,1
38.1101247923823,2
36.1455820261007,1
37.31238091859574,0
37.46157756432237,0
35.43518495094295,1
39.82967391548153,2
38.74074381082224,2
39.66119407275946,2
39.41103316239483,2
37.74823988134207,2
39.562495716129455,2
34.89555801149075,1
35.497504029547216,1
34.65327281789901,1
36.22184985227428,1
36.5765928222611,0
35.919554577933816,1
39.040930051250804,2
36.3978186294841,1
35.97323325424933,1
37.43909806568619,0
35.18917565985867,1
38.89230309222262,2
34.817483604606714,1
39.9265668449629,2
38.72457070806128,2
35.51280781659136,1
34.430923855892175,1
38.96658399934707,2
38.358401125546656,2
38.48244014102953,2
38.71911394144129,2
34.814650049710906,1
36.407408079847926,1
35.048866733340724,1
39.23337918490332,2
37.890469510234325,2
36.25302893917483,1
34.75592676160173,1
36.14150100160771,1
36.221026603349785,1
38.48579459869316,2
37.97032183958919,2
39.36839135842743,2
37.044403580906916,0
35.069727777254485,1
38.39417080844877,2
38.66039627225462,2
37.543152306389175,2
38.71741620774554,2
37.16525533964059,0
37.327303844539166,0
36.794229702807876,0
34.54234710976693,1
35.0041919911625,1
34.576003439845714,1
37.96389830307717,2
36.16039349402743,1
37.24799587052233,0
39.48237225398612,2
35.7960364832337,1
36.69814436899953,0
38.63108637584107,2
35.68126972675309,1
34.83108749504124,1
36.0226081363171,1
35.30283920862242,1
39.60630685311841,2
38.92547412556073,2
37.94706103645837,2
39.28017930505122,2
38.90056363063504,2
35.444792329761796,1
39.39833039154387,2
37.42031655472764,0
38.921664868918754,2
39.41811127957156,2
36.18081945984244,1
35.01629077735499,1
35.67643691023487,1
36.791803616307035,0
38.98088268916596,2
39.22009126623552,2
34.43893193097467,1
37.26018489443437,0
36.737501617633164,0
35.64380373863609,1
35.07124605706862,1
36.290644959860316,1
39.680294341910106,2
36.20993641931623,1
37.30522748176285,0
38.336906169813,2
36.43632577332404,1
39.84197966323738,2
39.78970485167582,2
35.80998085662204,1
37.18459163299736,0
36.08491853497391,1
35.995106768513814,1
34.60656690518538,1
37.813560270287425,2
37.21500253008163,0
34.68828100699994,1
35.96042019972502,1
39.48628896141326,2
35.741546587735044,1
35.211411283710845,1
37.14093545755435,0
39.919642543019364,2
35.7555095204644,1
38.163959065472916,2
38.66506984584082,2
35.73077024635744,1
38.47801155222641,2
36.45958554322782,1
37.94091265132404,2
37.94776638026101,2
37.40033823081865,0
34.905622712304684,1
39.07769397529973,2
36.19636836384172,1
35.444503658239185,1
34.62834079270667,1
37.709000481854154,2
38.194360426316784,2
34.49289184199599,1
37.267721126475976,0
35.66837634110845,1
38.01296762629292,2
35.37645200242795,1
38.26925133337381,2
36.56571793928301,0
39.64568793692571,2
35.17011728721756,1
36.30997156588145,1
35.0354517189473,1
39.57828426235995,2
39.31310037893349,2
35.84447311520487,1
38.0959106577914,2
38.976444321126806,2
37.50912454495699,2
37.36604323879364,0
35.75437282904253,1
34.92137549971304,1
39.42440824453863,2
39.44234112011465,2
37.9453681607303,2
36.298566829872726,1
36.3555736178309,1
38.46535180167334,2
39.42381745573443,2
39.36768397588466,2
38.767303056802696,2
37.995377218464014,2
34.87118380397227,1
35.305120798929835,1
39.431903455751645,2
37.796002734093705,2
34.451503489053124,1
34.96824064004978,1
38.11560990700511,2
34.428344869538826,1
35.30052508793799,1
37.472909220452884,0
38.274613107079084,2
38.050983053214566,2
35.655908132979135,1
38.3882036395462,2
35.72859488998208,1
36.222238309691896,1
38.580351868660934,2
38.0379442346644,2
39.15565109876739,2
38.082632196881924,2
37.58252817867864,2
34.92457869983732,1
36.45920849713283,1
35.885133259017664,1
